Title	Venue	Year	Authors
A diagnosis-based approach to software comprehension.	ICPC	2014	["Alexandre Perez", "Rui Abreu"]
dsOli: data structure operation location and identification.	ICPC	2014	["David H. White"]
Version history, similar report, and structure: putting them together for improved bug localization.	ICPC	2014	["Shaowei Wang", "David Lo"]
Understanding the database manipulation behavior of programs.	ICPC	2014	["Nesrine Noughi", "Marco Mori", "Loup Meurice", "Anthony Cleve"]
On mapping releases to commits in open source systems.	ICPC	2014	["Joe F. Shobe", "Md Yasser Karim", "Motahareh Bahrami Zanjani", "Huzefa H. Kagdi"]
Ranking crowd knowledge to assist software development.	ICPC	2014	["Lucas Batista Leite de Souza", "Eduardo Cunha Campos", "Marcelo de Almeida Maia"]
How do API changes trigger stack overflow discussions? a study on the Android SDK.	ICPC	2014	["Mario Linares V\u00e1squez", "Gabriele Bavota", "Massimiliano Di Penta", "Rocco Oliveto", "Denys Poshyvanyk"]
Towards more accurate content categorization of API discussions.	ICPC	2014	["Bo Zhou", "Xin Xia", "David Lo", "Cong Tian", "Xinyu Wang"]
CODES: mining source code descriptions from developers discussions.	ICPC	2014	["Carmine Vassallo", "Sebastiano Panichella", "Massimiliano Di Penta", "Gerardo Canfora"]
Condensing class diagrams by analyzing design and network metrics using optimistic classification.	ICPC	2014	["Ferdian Thung", "David Lo", "Mohd Hafeez Osman", "Michel R. V. Chaudron"]
An information visualization feature model for supporting the selection of software visualizations.	ICPC	2014	["Renan Vasconcelos", "Marcelo Schots", "Cl\u00e1udia Werner"]
Enabling integrated development environments with natural user interface interactions.	ICPC	2014	["Denis Delimarschi", "George Swartzendruber", "Huzefa H. Kagdi"]
Amalgamating source code authors, maintainers, and change proneness to triage change requests.	ICPC	2014	["Kamal Hossen", "Huzefa H. Kagdi", "Denys Poshyvanyk"]
Mining unit tests for code recommendation.	ICPC	2014	["Mohammad Ghafari", "Carlo Ghezzi", "Andrea Mocci", "Giordano Tamburrelli"]
Recommending automated extract method refactorings.	ICPC	2014	["Danilo Silva", "Ricardo Terra", "Marco Tulio Valente"]
