package_id,code_count,word_count
31,66,1976
37,0,5
53,0,5
77,4,91
96,0,5
100,0,132
145,1,185
151,0,2
184,2,30
216,0,5
238,0,19
251,6,760
398,8,299
419,14,379
534,12,156
554,0,5
574,0,5
580,0,5
585,0,28
597,8,998
644,0,15
694,4,98
733,28,487
760,0,7
777,0,5
809,3,51
833,2,73
836,0,12
850,6,385
874,0,6
909,0,19
922,14,731
923,0,8
997,0,3
1004,6,97
1065,2,913
1077,4,363
1111,0,5
1140,2,126
1180,12,383
1202,0,1064
1339,6,331
1356,2,54
1373,2,24
1418,0,17
1436,8,770
1460,8,144
1499,60,7643
1586,2,207
1694,1,82
1729,0,5
1730,0,7
1764,4,202
1919,2,224
1944,8,1529
1976,0,4
2056,0,45
2194,117,3593
2223,10,231
2239,0,12
2259,4,272
2323,0,28
2333,6,606
2335,8,816
2357,2,113
2381,2,17
2400,14,33
2412,10,834
2414,9,561
2456,6,251
2463,16,1064
2473,0,21
2482,0,5
2484,6,350
2576,0,5
2583,14,160
2586,12,608
2597,8,116
2671,0,5
2674,2,54
2719,8,260
2733,0,5
2753,26,660
2801,0,108
2803,0,108
2923,0,3
2956,7,155
2970,0,5
2992,6,89
3007,0,5
3091,6,202
3116,18,216
3120,16,2217
3173,22,441
3237,24,468
3251,6,75
3252,0,9
3263,0,137
3269,0,5
3295,4,192
3324,2,156
3327,0,136
3333,2,113
3378,2,99
3414,2,59
3441,0,11
3495,4,265
3542,14,357
3589,0,9
3590,4,79
3692,0,805
3740,0,17
3768,0,18
3777,0,17
3872,22,1759
3920,10,835
3970,2,223
4031,0,4
4039,8,102
4068,0,5
4148,6,332
4150,0,260
4181,6,188
4204,9,687
4216,12,376
4245,0,1
4292,2,64
4301,5,79
4303,12,480
4345,10,864
4375,10,305
4383,8,171
4393,14,289
4397,8,131
4426,42,3294
4430,6,688
4457,6,70
4488,3,458
4508,10,291
4658,0,6
4683,0,64
4730,0,67
4746,6,376
4771,32,1240
4788,14,578
4801,0,6
4811,6,199
4858,0,3
4873,6,180
4888,4,202
4900,1,85
4902,2,91
4917,20,671
4984,20,470
4995,2,263
5019,6,128
5078,2,96
5084,6,131
5102,18,759
5105,8,918
5138,2,199
5166,30,1802
5203,17,460
5320,9,541
5375,6,241
5397,0,7
5480,12,442
5499,4,792
5558,0,41
5577,18,1049
5603,0,110
5616,6,256
5622,8,305
5648,12,146
5669,2,102
5719,24,471
5826,4,467
5851,2,58
5859,4,134
5869,12,137
5905,6,321
5955,4,123
5978,5,143
5981,0,5
6014,6,186
6016,3,127
6043,2,21
6068,4,346
6070,8,161
6136,6,285
6172,0,26
6179,1,26
6189,6,86
6194,6,126
6239,10,293
6291,4,92
6300,3,46
6308,7,275
6384,4,58
6410,4,36
6524,4,58
6528,4,214
6539,0,6
6543,6,88
6590,6,112
6652,0,10
6678,80,3412
6696,26,427
6715,0,10
6722,3,249
6808,9,1177
6891,16,615
6914,14,578
6915,2,468
6933,0,5
6957,9,595
7066,0,30
7090,6,235
7153,8,437
7163,8,273
7187,8,198
7201,0,86
7240,0,52
7249,2,350
7329,2,29
7334,0,95
7336,0,29
7338,6,149
7341,4,14
7352,4,21
7399,2,200
7404,0,29
7481,44,1513
7497,4,54
7519,0,7
7562,2,40
7576,6,85
7632,0,5
7646,0,5
7838,6,561
7841,4,326
7852,8,920
7890,0,13
7977,2,205
8007,2,283
8023,11,500
8045,8,117
8054,9,1357
8077,0,71
8093,7,233
8136,14,107
8246,8,124
8278,0,52
8288,0,10
8317,6,221
8322,8,193
8328,6,151
8371,4,61
8389,0,6
8421,2,31
8448,6,110
8476,2,31
8481,0,2
8508,0,27
8577,22,789
8580,0,5
8612,0,4
8659,0,5
8709,75,2464
8718,4,153
8724,2,37
8750,8,363
8787,0,10
8823,0,10
8836,18,657
8854,12,1277
8904,2,566
9033,2,34
9072,2,45
9073,4,43
9077,6,125
9079,6,125
9137,8,351
9150,0,63
9160,4,247
9162,4,214
9192,0,5
9206,4,196
9236,4,76
9248,10,198
9342,6,235
9350,10,315
9403,0,11
9421,0,5
9445,2,44
9466,0,173
9497,8,244
9506,4,344
9517,5,248
9520,8,638
9601,0,6
9603,2,51
9610,6,367
9706,0,11
9826,22,536
9883,2,115
9895,0,5
9935,10,281
9938,4,234
9965,0,218
9992,4,60
10052,0,5
10067,2,251
10107,4,171
10114,2,238
10261,8,710
10295,9,259
10313,0,7
10394,4,196
10415,2,42
10439,14,811
10457,4,414
10481,6,190
10505,0,2
10523,0,2
10540,0,5
10562,14,298
10573,14,389
10599,0,514
10610,4,49
10635,24,167
10695,28,340
10768,62,3144
10779,0,5
10780,0,5
10837,4,274
10864,26,586
10914,0,5
10980,0,7
10986,0,5
10987,4,171
11046,2,176
11047,2,156
11049,2,150
11132,4,143
11152,0,5
11192,0,44
11245,3,33
11248,14,284
11280,16,650
11308,5,246
11378,8,284
11381,0,10
11452,0,5
11473,14,710
11527,6,84
11534,6,414
11537,0,26
11545,0,5
11597,0,5
11631,2,116
11638,0,5
11700,0,151
11708,4,58
11774,2,201
11805,22,522
11855,2,136
11892,4,81
11919,10,156
12166,0,6
12172,2,31
12194,2,187
12209,6,40
12235,6,61
12239,0,5
12330,4,169
12351,6,63
12368,8,67
12379,8,51
12389,0,14
12416,8,52
12462,0,4
12516,0,5
12522,8,41
12558,4,90
12575,4,136
12585,2,20
12640,4,177
12721,1,18
12767,2,205
12781,2,130
12854,0,5
12865,10,478
12939,30,2957
12953,0,152
12960,2,436
12987,1,66
13051,4,368
13074,93,5202
13127,83,4281
13197,7,304
13222,34,955
13259,5,235
13261,8,145
13295,4,634
13301,10,849
13321,6,242
13326,6,723
13342,4,47
13349,4,147
13369,0,5
13422,4,266
13432,0,5
13461,4,163
13532,0,5
13666,0,5
13711,10,264
13747,0,5
13758,6,293
13839,10,148
13846,6,104
13915,0,56
13938,0,5
13950,6,113
13972,0,40
14025,3,167
14044,5,227
14065,0,41
14174,0,88
14201,4,163
14278,4,235
14283,12,84
14306,0,76
14343,6,199
14365,10,237
14408,8,112
14410,0,15
14418,0,14
14421,0,13
14443,0,5
14460,0,6
14489,0,9
14537,0,25
14544,0,5
14591,10,620
14596,28,961
14618,4,65
14657,6,47
14682,16,670
14752,0,14
14758,20,792
14781,0,5
14883,0,5
14885,4,716
14892,0,5
14894,4,125
14923,10,142
14954,8,362
14957,26,1172
15018,0,6
15019,6,13
15023,2,70
15026,2,75
15032,15,1314
15084,6,309
15092,20,746
15096,11,523
15111,4,83
15229,4,145
15344,8,102
15349,8,218
15362,5,117
15367,0,58
15448,6,126
15452,3,321
15481,0,5
15563,0,5
15589,0,5
15633,0,2
15662,0,5
15673,0,8
15686,6,665
15849,2,57
15855,8,528
15889,8,445
15896,0,5
15904,26,608
15907,2,51
15915,18,546
15994,3,90
15996,5,171
16018,2,191
16071,4,98
16126,0,2
16143,4,24
16246,0,182
16263,1,159
16264,1,154
16269,0,203
16296,8,163
16305,1,168
16321,1,172
16352,1,167
16369,2,80
16396,8,168
16413,0,228
16420,8,683
16438,4,138
16452,1,355
16502,0,9
16505,4,914
16511,8,308
16512,6,116
16516,2,233
16587,3,165
16648,0,5
16691,2,207
16734,2,65
16760,4,76
16776,18,310
16801,3,91
16842,20,1208
16851,2,90
16965,10,185
16990,68,9173
17014,0,3
17044,0,4
17115,5,266
17148,6,169
17159,2,94
17202,5,344
17231,0,7
17252,0,17
17255,0,5
17263,6,210
17333,10,198
17359,4,489
17383,0,87
17416,2,650
17441,4,159
17452,4,129
17530,0,1
17531,8,134
17599,0,224
17612,4,92
17677,0,5
17685,2,95
17712,2,394
17815,0,44
17831,2,44
17851,8,427
17882,66,1724
17915,4,48
17964,4,1226
17979,0,5
18011,1,70
18045,3,173
18046,0,5
18056,14,518
18119,0,58
18165,0,18
18168,0,2
18209,0,5
18245,63,2535
18295,8,421
18336,4,30
18359,7,488
18395,0,10
18406,3,95
18426,8,198
18437,0,15
18439,0,5
18445,0,2
18453,18,465
18473,5,227
18522,26,1741
18534,0,5
18583,6,340
18606,0,12
18643,9,325
18711,1,29
18717,0,205
18766,6,79
18784,8,240
18862,8,126
18947,0,5
18976,2,107
19014,6,337
19037,5,252
19038,12,267
19104,8,636
19110,0,5
19133,0,452
19243,4,258
19277,30,1607
19328,4,209
19347,6,108
19366,0,13
19443,4,58
19518,6,382
19542,4,98
19617,4,260
19702,0,46
19714,6,114
19758,4,113
19822,4,400
19865,0,5
19905,6,129
19924,8,413
19946,6,479
19948,12,267
19954,4,416
20010,10,469
20058,1,123
20070,12,519
20080,4,82
20131,3,149
20134,4,41
20144,2,42
20153,4,35
20164,6,235
20189,0,54
20197,4,157
20229,8,131
20245,5,200
20247,10,315
20286,36,1736
20309,0,5
20344,6,45
20394,4,130
20408,6,121
20440,2,158
20453,0,5
20477,0,190
20478,22,535
20498,2,292
20521,10,271
20604,10,471
20648,4,389
20654,5,104
20734,2,20
20820,0,5
20849,4,322
20859,6,431
20880,0,7
20926,16,1257
20940,0,6
20959,2,245
20989,0,5
21008,0,362
21011,26,1493
21043,0,3
21047,4,148
21082,4,32
21091,0,80
21093,10,1184
21106,8,252
21111,4,60
21121,0,5
21191,4,175
21224,6,672
21234,6,178
21243,7,497
21270,4,172
21288,4,180
21320,1,352
21331,0,5
21359,41,515
21382,0,1
21410,0,122
21457,30,2194
21490,0,22
21506,0,5
21530,2,256
21546,0,21
21583,0,10
21654,0,5
21682,6,502
21697,2,149
21700,16,284
21711,5,122
21712,0,5
21778,9,463
21800,0,43
21817,5,100
21830,2,185
21919,0,5
21984,90,5393
21985,2,318
22036,3,247
22066,4,132
22068,0,22
22085,0,5
22086,0,5
22154,4,405
22175,0,4
22176,0,3
22189,1,48
22192,0,5
22198,1,154
22257,6,108
22287,11,409
22288,2,113
22296,6,275
22322,6,57
22346,12,431
22435,6,131
22507,14,802
22596,92,6987
22611,2,193
22657,2,300
22696,2,485
22723,10,290
22750,0,70
22753,4,459
22756,2,141
22763,12,1622
22790,0,29
22791,4,421
22799,27,713
22839,7,617
22905,0,5
22929,6,431
22963,2,42
23001,4,29
23024,2,104
23058,0,5
23073,2,197
23074,24,2262
23083,6,229
23090,1,103
23221,2,136
23259,10,285
23329,0,57
23338,0,30
23341,8,176
23357,4,34
23391,10,528
23402,0,68
23437,28,1055
23512,4,556
23607,0,59
23678,0,13
23714,0,5
23760,0,2
23762,4,74
23868,10,85
23903,4,233
23909,0,178
23930,8,742
23933,0,5
23959,1,3
23991,0,5
24019,0,15
24042,0,8
24054,0,20
24062,0,17
24073,0,4
24078,0,5
24119,0,5
24128,0,2
24141,0,13
24143,0,6
24151,0,5
24169,0,5
24188,4,219
24230,4,244
24307,2,158
24403,0,5
24413,28,645
24425,0,131
24500,3,248
24507,3,156
24516,0,5
24517,0,5
24519,8,140
24562,11,421
24620,1,192
24629,3,104
24637,2,95
24670,3,89
24697,2,269
24701,2,209
24703,2,199
24725,6,347
24727,4,564
24739,10,203
24758,9,319
24870,4,27
24883,0,5
24907,4,33
24932,3,36
24964,0,5
25119,26,988
25133,2,15
25155,16,1513
25211,4,379
25214,2,24
25222,2,208
25267,18,781
25305,6,88
25325,10,180
25328,2,149
25359,2,39
25361,10,478
25423,4,1464
25428,0,1
25448,0,15
25487,4,302
25491,6,171
25530,8,1344
25564,6,1238
25589,4,42
25613,0,213
25720,4,443
25740,0,6
25742,0,6
25887,14,955
25894,0,8
25924,0,5
25955,5,869
26068,6,114
26090,0,5
26145,0,34
26236,0,5
26276,2,30
26365,0,8
26422,4,29
26428,10,329
26463,0,5
26490,2,36
26516,22,746
26546,0,13
26549,0,115
26585,2,197
26591,0,7
26609,16,738
26618,0,119
26641,22,565
26655,0,35
26708,6,126
26711,4,86
26724,6,468
26753,6,90
26764,3,82
26820,0,5
26874,4,93
26913,5,241
26926,4,453
26938,4,45
26952,4,46
26965,4,46
26969,2,38
26976,10,524
27050,2,46
27069,0,56
27107,10,121
27109,0,5
27166,10,109
27171,6,127
27176,1,147
27233,0,115
27264,10,47
27302,35,1050
27332,6,182
27333,4,43
27378,4,919
27403,1,33
27429,0,5
27502,4,81
27530,86,5206
27550,0,265
27565,40,891
27608,6,75
27627,3,87
27651,2,68
27660,9,625
27713,0,45
27714,4,151
27731,34,1307
27776,22,727
27797,8,162
27798,0,5
27829,1,95
27870,4,33
27871,4,266
27938,0,5
28014,0,21
28022,8,107
28057,8,428
28112,4,76
28114,14,298
28143,2,246
28161,5,338
28226,4,125
28247,4,283
28280,18,646
28297,6,165
28302,2,46
28320,6,204
28339,2,114
28362,4,105
28413,0,114
28426,0,6
28505,2,44
28524,6,175
28532,2,201
28534,4,382
28594,2,257
28603,0,88
28648,0,5
28697,3,33
28704,0,5
28737,4,139
28783,0,5
28799,4,124
28835,2,137
28839,0,15
28860,4,126
28868,4,46
28992,6,546
29004,0,5
29044,4,102
29244,0,18
29281,2,96
29285,0,5
29304,4,79
29306,8,100
29332,138,4889
29358,0,6
29383,0,5
29427,1,71
29440,6,272
29451,6,276
29508,6,313
29524,0,5
29609,5,338
29644,2,18
29771,0,5
29781,4,272
29785,0,1
29804,0,5
29911,0,7
30009,4,48
30027,3,54
30031,2,410
30040,10,451
30112,0,10
30143,12,435
30161,0,7
30166,2,194
30175,0,5
30198,2,77
30257,10,319
30267,10,282
30343,4,104
30370,20,1024
30376,2,114
30403,1,240
30406,0,5
30440,4,47
30444,0,245
30521,7,121
30526,2,185
30559,2,76
30565,4,165
30710,0,240
30739,0,5
30746,10,741
30785,8,164
30816,0,6
30842,5,200
30886,20,346
30903,26,642
30905,18,286
30910,22,578
31039,0,231
31067,1,41
31149,0,11
31156,12,959
31190,0,3
31192,4,78
31234,0,5
31274,0,6
31290,6,220
31298,22,207
31310,0,5
31317,12,846
31319,1,130
31366,2,228
31399,4,391
31431,2,54
31445,4,318
31461,2,80
31463,4,158
31478,0,5
31483,0,28
31586,3,236
31665,6,92
31800,14,338
31895,0,5
31921,8,382
31930,0,6
31968,4,704
31977,10,828
31986,2,89
32090,2,95
32168,0,5
32181,4,139
32237,0,38
32263,8,566
32289,0,5
32356,5,87
32374,14,271
32504,4,157
32545,0,9
32628,6,496
32639,12,510
32684,0,5
32689,12,627
32736,2,20
32767,4,97
32788,0,50
32808,22,603
32834,18,1533
32840,0,8
32882,16,566
32983,22,605
32994,6,318
33014,0,17
33046,4,226
33051,4,190
33149,0,5
33193,4,187
33197,5,538
33203,2,52
33205,8,128
33318,3,78
33366,0,1
33392,4,630
33400,4,475
33472,0,40
33496,12,969
33549,0,183
33585,0,8
33608,13,405
33619,17,850
33677,12,259
33720,1,46
33756,4,134
33786,4,225
33791,12,675
33795,10,507
33824,14,714
33863,0,5
33867,24,946
33898,0,5
33914,2,386
33966,0,43
33981,0,2
33990,0,5
34005,0,5
34020,4,261
34070,0,2
34118,2,84
34165,0,21
34184,3,884
34211,0,5
34224,10,226
34254,10,163
34261,0,5
34264,0,5
34271,2,196
34318,0,33
34348,0,5
34418,0,296
34480,0,8
34515,12,261
34531,4,145
34570,4,57
34603,0,5
34604,2,376
34610,0,4
34741,4,70
34815,8,221
34820,4,43
34824,3,230
34834,11,1118
34878,4,54
34948,4,124
34950,6,140
35015,6,202
35060,4,149
35138,4,71
35144,0,65
35146,6,163
35158,0,31
35179,6,1554
35187,4,129
35198,0,8
35203,6,150
35237,0,5
35238,4,42
35273,40,1848
35304,6,189
35347,0,5
35349,0,109
35364,0,26
35375,0,2
35391,0,17
35408,0,120
35414,3,145
35430,4,408
35454,2,60
