id,name,page_no,stargazers_count,forks_count,open_issues_count,has_wiki,subscribers_count,github_contributions_count
614,slop,20,733,38,7,0,20,27
615,iconv-lite,20,732,111,13,1,43,16
616,rspec-expectations,20,732,240,25,0,48,126
617,pry-rails,20,720,54,9,1,14,22
618,watch,20,694,84,36,1,29,29
619,connection_pool,20,693,67,0,1,24,20
620,source-map,20,695,109,23,1,41,42
621,doctrine/dbal,20,684,583,308,0,81,231
622,grunt-contrib-sass,20,671,121,9,1,34,26
623,cors,20,665,47,2,1,25,19
624,aruba,20,653,114,22,1,35,47
625,zuul,20,653,114,22,1,35,47
626,plug,20,627,140,8,1,85,80
627,sshkit,20,617,182,46,0,27,71
628,stripe,20,618,199,5,1,41,75
629,fuubar,20,603,56,3,1,22,17
630,request_store,20,595,43,4,1,21,19
631,tap,21,593,73,12,1,17,32
632,chai-as-promised,21,584,56,15,0,18,18
633,phpmd/phpmd,21,582,152,109,0,55,51
634,parser,21,554,58,1,0,33,26
635,sax,21,545,161,47,1,29,29
636,coderay,21,533,87,89,1,26,14
637,contao/core,21,533,87,89,1,26,14
638,silverstripe/framework,21,475,541,661,0,74,280
639,twig/extensions,21,455,223,54,0,41,34
640,nomnom,21,437,52,45,1,13,13
641,turn,21,432,81,23,1,8,31
642,sinatra-contrib,21,433,138,24,0,25,42
643,travis,21,433,138,24,0,25,42
644,main-bower-files,21,428,35,1,1,11,14
645,source-map-support,21,422,68,36,1,10,30
646,omniauth-twitter,21,412,114,4,1,13,32
647,adm-zip,21,405,149,71,1,32,24
648,rcov,21,403,67,16,1,36,16
649,grunt-release,21,389,103,31,1,15,23
650,webpack-stream,21,394,38,18,0,15,22
651,gulp-useref,21,385,64,11,1,7,19
652,rainbow,21,377,24,2,1,12,14
653,node-fetch,21,373,38,18,1,10,8
654,capistrano-rails,21,363,170,38,0,20,28
655,faraday_middleware,21,356,128,25,1,13,29
656,formatador,21,348,20,5,1,8,14
657,cli-color,21,342,17,2,1,7,6
658,grunt-jsdoc,21,330,71,8,1,8,16
659,load-grunt-config,21,332,47,12,1,14,23
660,gulp-connect,21,320,68,27,1,6,23
661,boom,22,313,41,0,1,29,19
662,isparta,22,301,36,13,1,16,18
663,path-to-regexp,22,299,31,2,0,13,10
664,grunt-contrib-compress,22,291,79,14,1,14,25
665,estraverse,22,273,66,16,1,16,15
666,gulp-jscs,22,269,50,1,0,13,21
667,sprockets-rails,22,269,128,17,0,43,42
668,sqlite3-ruby,22,268,101,33,0,16,35
669,karma-jasmine,22,250,96,4,0,24,18
670,gulp-git,22,246,54,4,1,9,20
671,psr/log,22,240,68,10,0,50,10
672,open,22,230,32,30,1,12,6
673,connect-livereload,22,228,50,1,1,8,19
674,grunt-babel,22,215,28,1,0,10,7
675,hiredis,22,204,62,5,1,18,22
676,level,22,203,21,4,1,17,6
677,tar,22,203,21,4,1,17,6
678,symfony/http-foundation,22,203,21,4,1,17,6
679,clone,22,199,35,5,0,7,21
680,expect,22,213,15,4,0,8,11
681,jsonfile,22,191,24,6,1,12,9
682,karma-webpack,22,183,40,43,1,17,12
683,rb-fsevent,22,179,24,10,1,6,13
684,commander,22,174,13,10,0,7,24
685,css_parser,22,174,13,10,0,7,24
686,rmagick,22,162,40,48,1,24,25
687,uglifyify,22,158,25,10,1,7,13
688,karma-mocha,22,154,44,5,0,10,17
689,gulp-bump,22,150,21,3,1,5,13
690,gulp-stylus,22,144,55,5,1,8,30
691,symfony/process,23,138,42,2,0,10,94
692,fstream,23,138,42,2,0,10,94
693,symfony/class-loader,23,138,42,2,0,10,94
694,events,23,113,28,3,1,4,8
695,lodash-node,23,111,12,0,0,13,2
696,bindings,23,111,20,7,1,13,4
697,errorhandler,23,108,18,0,0,10,4
698,symfony/event-dispatcher,23,108,18,0,0,10,4
699,karma-sauce-launcher,23,109,42,20,1,9,15
700,symfony/finder,23,99,17,0,0,13,70
701,eslint-loader,23,99,27,5,1,10,12
702,deep-equal,23,90,27,17,1,6,5
703,uuid,23,90,27,17,1,6,5
704,less-loader,23,86,39,23,1,7,14
705,guard-bundler,23,81,13,1,1,6,10
706,once,23,81,7,1,1,7,4
707,symfony/http-kernel,23,76,19,1,0,7,206
708,treetop,23,70,11,5,1,4,22
709,symfony/dependency-injection,23,70,11,5,1,4,22
710,net-scp,23,67,26,10,0,5,8
711,which,23,67,26,10,0,5,8
712,karma-mocha-reporter,23,61,16,5,1,7,7
713,gulp-install,23,58,19,6,1,5,10
714,coveralls,23,,,,,,
715,ember-cli-babel,23,56,27,8,1,8,10
716,get-stdin,23,50,4,0,0,6,4
717,karma-sinon-chai,23,49,19,5,1,5,9
718,underscore-plus,23,45,7,1,1,30,7
719,illuminate/support,23,43,28,7,0,5,110
720,karma-coffee-preprocessor,23,41,31,8,0,7,10
721,karma-chai,24,38,38,6,1,2,4
722,libc,24,38,38,6,1,2,4
723,json-loader,24,35,11,4,0,5,4
724,node-libs-browser,24,34,19,8,1,2,13
725,symfony/config,24,31,15,0,0,7,157
726,atom-space-pen-views,24,25,6,2,1,17,5
727,ember-cli-app-version,24,24,11,4,0,5,8
728,karma-firefox-launcher,24,24,24,11,0,8,19
729,ember-cli-ic-ajax,24,24,24,11,0,8,19
730,ember-export-application-global,24,11,10,0,1,8,8
731,twitter-bootstrap-3.0.0,24,90227,38179,415,0,5733,652
732,react-source,24,33093,5302,589,1,2435,564
733,react-addons-transition-group,24,33093,5302,589,1,2435,564
734,react-addons-create-fragment,24,33093,5302,589,1,2435,564
735,zurb-foundation,24,33093,5302,589,1,2435,564
736,Django,24,,,,,,
737,material-ui,24,12480,2023,457,1,593,258
738,lodash._basecallback,24,12434,1156,0,1,452,162
739,lodash.toarray,24,12434,1156,0,1,452,162
740,6to5-core,24,12316,758,174,0,457,163
741,babel-types,24,12316,758,174,0,457,163
742,babel-plugin-transform-es2015-parameters,24,12316,758,174,0,457,163
743,babel-plugin-transform-es2015-function-name,24,12316,758,174,0,457,163
744,babel-plugin-transform-es2015-block-scoped-functions,24,12316,758,174,0,457,163
745,babel-plugin-transform-es2015-arrow-functions,24,12316,758,174,0,457,163
746,babel-plugin-transform-async-to-generator,24,12316,758,174,0,457,163
747,babel-plugin-transform-class-properties,24,12316,758,174,0,457,163
748,babel-preset-stage-1,24,12316,758,174,0,457,163
749,babel-plugin-syntax-jsx,24,12316,758,174,0,457,163
750,babel-plugin-transform-react-jsx,24,12316,758,174,0,457,163
751,babel-plugin-transform-es2015-constants,25,12316,758,174,0,457,163
752,babel-plugin-transform-es2015-template-literals,25,12316,758,174,0,457,163
753,babel-plugin-transform-es2015-for-of,25,12316,758,174,0,457,163
754,babel-plugin-transform-es2015-object-super,25,12316,758,174,0,457,163
755,babel-plugin-transform-es2015-block-scoping,25,12316,758,174,0,457,163
756,babel-plugin-transform-es2015-shorthand-properties,25,12316,758,174,0,457,163
757,babel-plugin-transform-es2015-sticky-regex,25,12316,758,174,0,457,163
758,babel-plugin-transform-es2015-unicode-regex,25,12316,758,174,0,457,163
759,babel-plugin-transform-es2015-spread,25,12316,758,174,0,457,163
760,babel-plugin-transform-es2015-classes,25,12316,758,174,0,457,163
761,babel-plugin-transform-es2015-destructuring,25,12316,758,174,0,457,163
762,babel-plugin-transform-object-rest-spread,25,12316,758,174,0,457,163
763,babel-plugin-transform-es2015-literals,25,12316,758,174,0,457,163
764,babel-plugin-transform-es2015-typeof-symbol,25,12316,758,174,0,457,163
765,babel-plugin-transform-es2015-computed-properties,25,12316,758,174,0,457,163
766,babel-plugin-transform-es2015-modules-commonjs,25,12316,758,174,0,457,163
767,babel-plugin-syntax-async-functions,25,12316,758,174,0,457,163
768,rethinkdb,25,11424,931,1232,0,592,99
769,vue,25,11072,1026,18,1,640,42
770,hub,25,7733,676,121,0,188,100
771,fzaninotto/faker,25,7389,1104,87,0,390,196
772,angular2,25,7380,1943,746,1,1016,184
773,knockout,25,7019,1189,268,1,605,63
774,spree,25,6963,3325,236,1,408,431
775,cocoapods,25,6925,1310,159,1,483,173
776,bourbon,25,6744,737,16,1,335,101
777,mousetrap,25,6525,577,140,1,179,15
778,carrierwave,25,6320,1104,28,1,151,265
779,nightmare,25,6263,280,69,1,153,43
780,slim/slim,25,6157,1149,27,1,494,131
781,rails_admin,26,5724,1643,280,1,154,326
782,mobiledetect/mobiledetectlib,26,5424,1478,131,1,645,35
783,loopback,26,5395,489,536,1,299,59
784,logstash-event,26,5153,1652,715,1,451,321
785,logstash-core,26,,,,,,
786,localforage,26,5110,332,75,1,191,58
787,middleman-core,26,,,,,,
788,middleman,26,4807,490,71,0,202,139
789,yiisoft/yii,26,4567,1974,419,1,539,249
790,component,26,4422,281,33,1,195,56
791,hogan.js,26,4422,281,33,1,195,56
792,react-bootstrap,26,4254,711,50,1,207,131
793,myth,26,3979,125,19,1,128,23
794,authlogic,26,3800,540,172,1,53,86
795,pundit,26,3767,285,27,0,107,59
796,bullet,26,3744,179,18,1,61,62
797,bespoke,26,3744,179,18,1,61,62
798,URIjs,26,3744,179,18,1,61,62
799,zombie,26,3562,405,93,0,103,113
800,draper,26,3527,344,43,1,80,123
801,faye,26,3364,289,16,1,111,29
802,faye,26,,,,,,
803,state_machine,26,3305,427,81,1,90,21
804,passenger,26,3305,427,81,1,90,21
805,page,26,3305,427,81,1,90,21
806,brakeman,26,2969,255,33,1,127,56
807,ws,26,2928,507,189,1,158,82
808,blessed,26,2880,108,77,1,75,11
809,koala,26,2831,382,70,1,95,79
810,mechanize,26,2782,348,31,1,90,88
811,canvas,27,2786,435,278,1,252,68
812,fabpot/php-cs-fixer,27,2761,437,91,0,122,112
813,barryvdh/laravel-debugbar,27,2696,292,117,0,136,30
814,filp/whoops,27,2624,265,5,1,141,65
815,EntityFramework,27,,,,,,
816,cancancan,27,2586,250,49,1,94,111
817,supervisor,27,2535,214,27,1,71,36
818,testem,27,2535,214,27,1,71,36
819,selenium-webdriver,27,2244,1282,241,1,436,157
820,cssnext,27,2207,92,40,0,97,21
821,cron,27,2155,169,27,1,76,39
822,mustache,27,2100,190,16,1,45,53
823,letter_opener,27,2099,154,3,1,33,35
824,knex,27,2113,315,278,1,90,115
825,fibers,27,2093,134,18,1,60,16
826,poltergeist,27,1974,369,30,0,62,97
827,annotate,27,1952,266,27,1,30,113
828,parallel,27,1941,124,21,1,55,32
829,aws-sdk-v1,27,1880,598,10,0,143,66
830,mockery/mockery,27,1749,219,79,0,76,72
831,scriptjs,27,1749,219,79,0,76,72
832,nodeunit,27,1675,265,149,1,57,53
833,xregexp,27,1653,157,16,1,76,7
834,helmet,27,1645,54,3,0,65,18
835,capybara-webkit,27,1619,384,53,1,70,100
836,sucker_punch,27,1596,75,3,1,42,29
837,livescript,27,1593,123,148,1,135,50
838,twit,27,1583,209,89,1,81,14
839,premailer,27,1539,260,102,1,50,62
840,react-redux,27,1539,260,102,1,50,62
841,es6-shim,28,1481,140,25,0,79,33
842,em-websocket,28,1477,169,17,1,49,29
843,savon,28,1459,417,86,0,45,74
844,redis-objects,28,1450,187,19,1,49,67
845,cookies-js,28,1404,142,2,1,51,10
846,jasmine-node,28,1406,277,85,1,47,76
847,ioredis,28,1394,89,22,1,69,31
848,therubyracer,28,1369,162,60,1,39,24
849,mongoskin,28,1357,153,37,1,72,23
850,NLog,28,,,,,,
851,rufus-scheduler,28,1328,118,6,0,39,31
852,acorn,28,1324,174,12,1,68,46
853,geokit,28,1303,332,13,1,41,65
854,csso,28,1295,89,67,0,63,31
855,ecto,28,1298,287,28,1,100,153
856,later,28,1278,90,27,1,52,6
857,wolfy87-eventemitter,28,1272,178,0,1,41,17
858,activerecord-import,28,1277,345,82,1,29,42
859,settingslogic,28,1205,107,48,1,32,18
860,bowser,28,1205,209,37,1,71,28
861,rouge,28,,,,,,
862,core-js,28,1190,55,15,0,41,17
863,multer,28,1173,136,30,1,48,18
864,github,28,1156,278,107,1,51,75
865,font-awesome-rails,28,1144,146,2,1,35,18
866,nette/nette,28,1083,269,61,0,153,106
867,mqtt,28,1083,269,61,0,153,106
868,trash,28,1049,16,2,0,24,7
869,express-validator,28,1030,150,10,1,38,41
870,connect-redis,28,1030,150,10,1,38,41
871,rack-contrib,29,1004,169,11,0,31,60
872,berkshelf,29,1004,169,11,0,31,60
873,hawk,29,964,68,4,1,69,25
874,lita,29,964,68,4,1,69,25
875,electron-packager,29,946,85,71,1,36,27
876,http,29,905,87,12,1,30,36
877,sebastian/phpcpd,29,905,101,23,0,59,20
878,stringex,29,900,132,7,1,22,46
879,curb,29,897,153,74,1,23,62
880,connect-assets,29,863,175,26,1,28,46
881,bcrypt-ruby,29,862,134,26,1,40,23
882,generic-pool,29,855,109,15,1,38,20
883,node-notifier,29,858,48,6,1,26,17
884,ruby-progressbar,29,846,92,3,1,22,36
885,stripe,29,841,157,0,1,57,56
886,phploc/phploc,29,805,80,18,0,45,24
887,express-handlebars,29,808,117,30,0,26,9
888,fakefs,29,792,168,45,0,12,86
889,shortid,29,794,61,8,1,34,6
890,isomorphic-fetch,29,812,26,14,1,18,8
891,newrelic_rpm,29,786,387,13,1,40,116
892,atoum/atoum,29,780,127,42,1,46,51
893,expresso,29,766,95,84,1,15,18
894,htmlparser,29,765,103,53,1,22,7
895,memcached,29,765,103,53,1,22,7
896,dm-core,29,750,155,120,1,27,76
897,fastimage,29,755,58,4,1,26,15
898,benchmark-ips,29,681,40,3,1,21,19
899,reactify,29,676,70,12,1,22,13
900,koa-router,29,681,101,16,0,14,33
901,suncalc,30,666,87,8,0,47,4
902,cocaine,30,658,47,1,0,35,32
903,cssnano,30,669,25,15,1,24,6
904,gaze,30,650,73,65,0,26,23
905,airbrake,30,647,285,4,1,39,154
906,php-curl-class/php-curl-class,30,648,263,19,0,69,28
907,domready,30,643,93,11,1,33,10
908,headless,30,634,82,12,0,29,19
909,jasmine,30,634,82,12,0,29,19
910,bignumber.js,30,634,82,12,0,29,19
911,illuminate/database,30,613,181,6,0,68,297
912,grunt-contrib-compass,30,602,132,15,1,37,29
913,express-jwt,30,602,101,13,1,67,33
914,grunt-bump,30,589,113,10,1,17,28
915,tcomb,30,584,26,6,1,37,9
916,compass-rails,30,582,234,16,0,28,39
917,babel-plugin-react-transform,30,567,53,14,1,83,15
918,bunny,30,556,164,4,0,34,63
919,mikey179/vfsStream,30,551,68,11,1,36,16
920,big.js,30,551,68,11,1,36,16
921,loofah,30,539,62,20,1,15,21
922,docker-api,30,527,160,24,1,57,60
923,css,30,518,81,21,0,28,16
924,nestful,30,514,32,10,1,15,11
925,jms/serializer-bundle,30,516,233,148,0,42,51
926,js-base64,30,511,179,7,1,31,11
927,geoip,30,503,59,9,1,27,18
928,slack-notifier,30,496,39,5,1,12,13
929,jwt-simple,30,492,51,7,1,16,10
930,hpricot,30,490,101,0,1,26,17
931,traverse,31,489,69,35,1,18,9
932,composer/installers,31,487,262,50,0,43,87
933,mockery,31,485,32,17,1,14,2
934,escape_utils,31,478,33,12,0,14,20
935,pygments.rb,31,478,33,12,0,14,20
936,maruku,31,449,77,17,0,14,14
937,xcodeproj,31,449,145,29,1,29,55
938,globalid,31,449,55,3,0,27,29
939,NUnit,31,,,,,,
940,font-awesome-sass,31,440,129,27,1,26,20
941,jit-grunt,31,437,24,6,0,17,6
942,binding_of_caller,31,430,24,16,1,16,10
943,gulp-inject,31,430,61,17,1,15,25
944,mssql,31,431,95,28,1,47,18
945,ox,31,427,32,2,1,16,19
946,newrelic,31,420,143,6,0,69,30
947,mdast,31,415,10,16,1,20,38
948,facter,31,407,376,3,0,155,197
949,grunt-browser-sync,31,407,376,3,0,155,197
950,gulp-ruby-sass,31,400,85,5,0,30,20
951,gherkin,31,401,241,49,1,59,91
952,hashids,31,401,241,49,1,59,91
953,thread,31,398,40,0,1,21,8
954,gulp-iconfont,31,386,37,6,1,20,13
955,html-webpack-plugin,31,388,55,20,1,10,19
956,bacon,31,383,56,7,1,9,13
957,activerecord-jdbc-adapter,31,384,278,41,1,41,117
958,activerecord-jdbcsqlite3-adapter,31,384,278,41,1,41,117
959,ruby-graphviz,31,382,76,19,1,19,22
960,ecstatic,31,372,74,16,1,15,47
961,silverstripe/cms,32,370,257,333,0,63,80
962,grunt-mocha,32,365,134,16,1,15,32
963,rss,32,362,64,10,0,17,16
964,grunt-contrib-htmlmin,32,356,51,1,1,9,16
965,form-data,32,353,72,13,1,17,10
966,limiter,32,361,34,5,1,19,6
967,gulp-angular-templatecache,32,347,76,7,0,9,15
968,grunt-prompt,32,347,17,10,1,11,7
969,posix-spawn,32,346,34,7,1,16,20
970,query-string,32,339,49,1,0,9,12
971,twilio,32,337,124,24,1,90,29
972,grunt-contrib-coffee,32,328,115,11,1,16,35
973,grunt-contrib-jasmine,32,322,152,42,1,19,46
974,clap,32,322,22,24,1,14,22
975,eventemitter3,32,327,38,0,1,17,15
976,grunt-gh-pages,32,320,18,19,1,7,6
977,childprocess,32,317,37,7,1,9,22
978,progress_bar,32,318,38,3,0,6,8
979,extract-text-webpack-plugin,32,280,32,63,1,11,12
980,xmlbuilder,32,282,44,2,1,7,19
981,sass-loader,32,269,93,24,1,13,23
982,gulp-shell,32,267,37,28,1,4,9
983,pry-nav,32,269,15,10,1,6,4
984,pre-commit,32,262,49,13,1,9,19
985,walk,32,250,31,11,1,13,11
986,xmlhttprequest,32,245,152,54,1,15,26
987,satooshi/php-coveralls,32,237,63,11,1,20,17
988,grunt-conventional-changelog,32,235,52,0,1,14,16
989,gulp-jade,32,235,56,1,1,5,17
990,htmlentities,32,219,22,3,0,7,5
991,karma-browserify,33,219,35,3,1,6,14
992,gulp-react,33,216,29,0,0,11,8
993,rr,33,207,18,29,1,15,28
994,rb-inotify,33,206,31,9,1,8,13
995,docile,33,204,20,1,1,9,10
996,sensio/framework-extra-bundle,33,203,160,57,1,28,86
997,resolve,33,204,61,32,1,12,25
998,temp,33,202,33,8,1,6,16
999,ncp,33,204,63,48,1,9,18
1000,delayed_job_active_record,33,194,191,23,1,14,22
1001,split,33,189,18,6,1,4,12
1002,doctrine/cache,33,191,103,7,0,31,60
1003,safe_yaml,33,183,38,13,1,10,17
1004,grunt-contrib-qunit,33,182,73,21,1,15,24
1005,guard-minitest,33,181,77,4,1,6,37
1006,gulp-coffee,33,181,77,4,1,6,37
1007,gulp-htmlmin,33,178,17,2,1,9,7
1008,cookie-session,33,177,46,7,0,12,6
1009,strip-json-comments,33,182,14,3,0,11,10
1010,require-dir,33,177,21,12,1,6,3
1011,parallelshell,33,167,19,13,1,9,9
1012,open4,33,164,22,10,1,4,7
1013,tmp,33,164,40,9,0,7,16
1014,static-favicon,33,164,40,9,0,7,16
1015,amdefine,33,158,24,3,1,9,6
1016,bl,33,158,13,4,1,10,7
1017,multipart-post,33,152,48,14,1,8,21
1018,thread_safe,33,151,10,1,1,14,14
1019,fastercsv,33,147,26,0,1,3,7
1020,CFPropertyList,33,142,27,0,0,8,15
