id,name,page_no,stargazers_count,forks_count,open_issues_count,has_wiki,subscribers_count,github_contributions_count
146,symfony/symfony,4,11335,4468,897,0,1027,479
147,immutable,4,10230,500,206,1,318,64
148,jasmine-core,4,10057,1613,52,1,459,114
149,jade,4,10057,1613,52,1,459,114
150,hubot,4,9605,2147,131,1,465,221
151,handlebars,5,9605,2147,131,1,465,221
152,mustache,5,9605,2147,131,1,465,221
153,mongoose,5,8261,1298,408,1,458,212
154,npm,5,8002,1636,1697,1,457,324
155,postcss,5,7848,375,33,0,347,150
156,capistrano,5,7794,1298,65,1,343,116
157,rx,5,7059,702,61,1,324,163
158,passport,5,6761,442,144,1,245,22
159,capybara,5,6640,967,42,0,235,198
160,highlight.js,5,6640,967,42,0,235,198
161,stylus,5,6449,874,128,1,370,143
162,connect,5,5931,846,2,1,294,130
163,superagent,5,5967,639,87,1,140,112
164,mysql,5,5911,975,76,1,345,87
165,jsdom,5,5109,579,112,1,170,163
166,cucumber,5,4920,1066,48,0,246,279
167,guard,5,4702,394,22,1,122,141
168,validator,5,4702,394,22,1,122,141
169,winston,5,4548,545,104,0,128,165
170,jscs,5,4483,480,180,1,121,208
171,mongodb,5,4346,934,8,1,272,194
172,fog,5,3726,1531,102,1,137,404
173,js-beautify,5,3378,667,226,1,152,96
174,mongoid,5,2,5,0,0,0,326
175,react-hot-loader,5,3290,145,19,1,87,31
176,eventmachine,5,3178,506,180,1,117,101
177,rest-client,5,3098,591,89,1,77,74
178,dotenv,5,2938,206,18,0,52,56
179,ember-data,5,2591,1002,258,1,273,347
180,awesome_print,5,2576,199,45,1,46,34
181,node-uuid,6,2441,211,22,1,86,24
182,redis,6,2434,506,53,1,73,100
183,simplecov,6,2399,230,30,0,57,84
184,hashie,6,1882,209,31,1,46,88
185,byebug,6,1779,98,17,1,41,33
186,grunt-contrib-watch,6,1668,295,108,1,64,39
187,tilt,6,1498,169,16,0,35,73
188,jeweler,6,1466,155,43,1,21,66
189,shoulda-matchers,6,1471,421,79,1,63,179
190,expect.js,6,1471,421,79,1,63,179
