Title	Venue	Year	Authors
A study of ripple effects in software ecosystems.	ICSE	2011	["Romain Robbes", "Mircea Lungu"]
Adinda: a knowledgeable, browser-based IDE.	ICSE (2)	2010	["Arie van Deursen", "Ali Mesbah", "Bas Cornelissen", "Andy Zaidman", "Martin Pinzger", "Anja Guzzi"]
