package_id,code_count,word_count
1,0,1
3,0,1
4,0,66
5,0,1
6,5,279
7,0,1
8,1,5
9,3,128
11,2,131
12,0,1
13,8,345
14,6,165
15,0,1
16,0,1
18,0,130
19,0,10
20,3,246
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,1,277
27,0,467
28,0,1
29,0,688
30,0,24
31,0,517
33,0,63
34,0,49
35,0,168
36,0,1
37,1,19
38,0,121
39,0,12
40,0,1
41,0,55
42,0,61
43,0,59
44,0,65
45,0,65
46,0,1
47,0,20
48,0,37
49,0,72
50,0,5
51,0,1
52,0,60
53,0,1
54,0,165
55,0,371
56,0,53
57,7,308
58,0,1
59,0,1
60,0,125
61,0,1409
62,0,1
63,0,1
64,0,1
65,4,784
66,3,635
67,7,496
68,0,1
69,2,39
70,1,24
71,7,189
72,0,1
73,0,60
74,0,109
75,0,107
76,0,74
77,0,1
78,0,1
79,2,279
80,0,1
81,0,1
82,0,1
83,0,1
84,0,1
85,0,1
87,1,96
88,0,7
89,0,1
90,0,1
91,0,1
92,0,112
94,1,153
95,0,1
96,1,236
97,0,67
98,0,1
99,0,1
100,2,403
101,0,317
102,0,1
103,5,431
104,0,61
105,0,61
106,0,1
107,0,1
108,1,660
109,0,1
110,0,1
111,0,1
112,5,739
113,1,975
114,3,428
115,0,1
116,0,59
117,4,454
118,18,1656
119,0,1
120,0,1
121,0,1
122,0,1
123,0,1
124,0,58
125,0,1
126,0,1
127,0,1
128,0,112
129,0,1
130,0,1
131,0,1
132,0,172
133,1,50
134,0,75
135,5,233
136,0,87
137,0,179
138,3,258
139,3,267
140,0,1
141,0,18
143,0,43
144,0,1
145,0,1
146,0,1
147,4,498
148,3,73
149,0,36
150,0,1
151,28,2359
152,0,83
153,0,1
154,0,1
155,0,1
156,3,334
157,0,9
158,0,409
159,0,1
160,2,256
161,0,1
162,0,453
163,3,261
165,2,177
166,3,314
167,0,409
168,0,1
169,0,311
170,0,307
171,0,210
172,2,142
173,1,44
174,0,1
175,0,1
176,2,234
177,3,68
178,0,13
179,0,8
180,0,1
181,0,234
182,0,21
183,0,438
184,0,87
185,1,639
186,5,480
187,1,49
188,0,14
189,2,190
190,0,268
191,0,39
192,5,631
193,0,73
194,0,1
195,0,1
196,0,21
197,3,373
198,0,45
199,0,250
200,0,278
201,0,674
202,0,5
203,1,65
204,1,21
205,0,1254
206,0,1
207,1,47
208,0,1
209,0,52
