Title	Venue	Year	Authors
Optimizing hash-array mapped tries for fast and lean immutable JVM collections.	OOPSLA	2015	["Michael J. Steindorfer", "Jurgen J. Vinju"]
Automating ad hoc data representation transformations.	OOPSLA	2015	["Vlad Ureche", "Aggelos Biboudis", "Yannis Smaragdakis", "Martin Odersky"]
Tracing vs. partial evaluation: comparing meta-compilation approaches for self-optimizing interpreters.	OOPSLA	2015	["Stefan Marr", "St\u00e9phane Ducasse"]
Effectively mapping linguistic abstractions for message-passing concurrency to threads on the Java virtual machine.	OOPSLA	2015	["Ganesha Upadhyaya", "Hridesh Rajan"]
Partial evaluation of machine code.	OOPSLA	2015	["Venkatesh Srinivasan", "Thomas W. Reps"]
A co-contextual formulation of type rules and its application to incremental type checking.	OOPSLA	2015	["Sebastian Erdweg", "Oliver Bracevac", "Edlira Kuci", "Matthias Krebs", "Mira Mezini"]
Disjointness domains for fine-grained aliasing.	OOPSLA	2015	["Stephan Brandauer", "Dave Clarke", "Tobias Wrigstad"]
The chemical approach to typestate-oriented programming.	OOPSLA	2015	["Silvia Crafa", "Luca Padovani"]
Customizable gradual polymorphic effects for Scala.	OOPSLA	2015	["Mat\u00edas Toro", "\u00c9ric Tanter"]
Proceedings of the 2015 ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications, OOPSLA 2015, part of SLASH 2015, Pittsburgh, PA, USA, October 25-30, 2015.		2015	["Jonathan Aldrich", "Patrick Eugster"]
Checking correctness of TypeScript interfaces for JavaScript libraries.	OOPSLA	2014	["Asger Feldthaus", "Anders M\u00f8ller"]
Determinacy in static analysis for jQuery.	OOPSLA	2014	["Esben Andreasen", "Anders M\u00f8ller"]
EventBreak: analyzing the responsiveness of user interfaces through performance-guided test generation.	OOPSLA	2014	["Michael Pradel", "Parker Schuh", "George C. Necula", "Koushik Sen"]
Using web corpus statistics for program analysis.	OOPSLA	2014	["Chun-Hung Hsiao", "Michael J. Cafarella", "Satish Narayanasamy"]
Tardis: affordable time-travel debugging in managed runtimes.	OOPSLA	2014	["Earl T. Barr", "Mark Marron"]
Phosphor: illuminating dynamic data flow in commodity jvms.	OOPSLA	2014	["Jonathan Bell", "Gail E. Kaiser"]
Rubah: DSU for Java on a stock JVM.	OOPSLA	2014	["Lu\u00eds Pina", "Lu\u00eds Veiga", "Michael W. Hicks"]
Fast conservative garbage collection.	OOPSLA	2014	["Rifat Shahriyar", "Stephen M. Blackburn", "Kathryn S. McKinley"]
Region-based memory management for GPU programming languages: enabling rich data structures on a spartan host.	OOPSLA	2014	["Eric Holk", "Ryan Newton", "Jeremy G. Siek", "Andrew Lumsdaine"]
Smten with satisfiability-based search.	OOPSLA	2014	["Richard Uhler", "Nirav Dave"]
StreamJIT: a commensal compiler for high-performance stream programming.	OOPSLA	2014	["Jeffrey Bosboom", "Sumanaruban Rajadurai", "Weng-Fai Wong", "Saman P. Amarasinghe"]
SurveyMan: programming and automatically debugging surveys.	OOPSLA	2014	["Emma Tosch", "Emery D. Berger"]
Rate types for stream programs.	OOPSLA	2014	["Thomas Bartenstein", "Yu David Liu"]
Foundations of path-dependent types.	OOPSLA	2014	["Nada Amin", "Tiark Rompf", "Martin Odersky"]
Confined gradual typing.	OOPSLA	2014	["Esteban Allende", "Johan Fabry", "Ronald Garcia", "\u00c9ric Tanter"]
Refactoring Java generics by inferring wildcards, in practice.	OOPSLA	2014	["John Altidor", "Yannis Smaragdakis"]
Continuously measuring critical section pressure with the free-lunch profiler.	OOPSLA	2014	["Florian David", "Ga\u00ebl Thomas", "Julia Lawall", "Gilles Muller"]
Chisel: reliability- and accuracy-aware optimization of approximate computational kernels.	OOPSLA	2014	["Sasa Misailovic", "Michael Carbin", "Sara Achour", "Zichao Qi", "Martin C. Rinard"]
An experimental survey of energy management across the stack.	OOPSLA	2014	["Melanie Kambadur", "Martha A. Kim"]
Understanding energy behaviors of thread management constructs.	OOPSLA	2014	["Gustavo Pinto", "Fernando Castor", "Yu David Liu"]
Distributed REScala: an update algorithm for distributed reactive programming.	OOPSLA	2014	["Joscha Drechsler", "Guido Salvaneschi", "Ragnar Mogk", "Mira Mezini"]
From object algebras to attribute grammars.	OOPSLA	2014	["Tillmann Rendel", "Jonathan Immanuel Brachth\u00e4user", "Klaus Ostermann"]
Late data layout: unifying data representation transformations.	OOPSLA	2014	["Vlad Ureche", "Eugene Burmako", "Martin Odersky"]
i3QL: language-integrated live data views.	OOPSLA	2014	["Ralf Mitschke", "Sebastian Erdweg", "Mirko K\u00f6hler", "Mira Mezini", "Guido Salvaneschi"]
Atlas: leveraging locks for non-volatile memory consistency.	OOPSLA	2014	["Dhruva R. Chakrabarti", "Hans-Juergen Boehm", "Kumud Bhandari"]
Fast splittable pseudorandom number generators.	OOPSLA	2014	["Guy L. Steele Jr.", "Doug Lea", "Christine H. Flood"]
Multithreaded test synthesis for deadlock detection.	OOPSLA	2014	["Malavika Samak", "Murali Krishna Ramanathan"]
Symbolic execution of multithreaded programs from arbitrary program contexts.	OOPSLA	2014	["Tom Bergan", "Dan Grossman", "Luis Ceze"]
CheckCell: data debugging for spreadsheets.	OOPSLA	2014	["Daniel W. Barowy", "Dimitar Gochev", "Emery D. Berger"]
Finding minimum type error sources.	OOPSLA	2014	["Zvonimir Pavlinovic", "Tim King", "Thomas Wies"]
Flint: fixing linearizability violations.	OOPSLA	2014	["Peng Liu", "Omer Tripp", "Xiangyu Zhang"]
Statistical debugging for real-world performance problems.	OOPSLA	2014	["Linhai Song", "Shan Lu"]
Adaptive LL(*) parsing: the power of dynamic analysis.	OOPSLA	2014	["Terence Parr", "Sam Harwell", "Kathleen Fisher"]
Automated migration of build scripts using dynamic analysis and search-based refactoring.	OOPSLA	2014	["Milos Gligoric", "Wolfram Schulte", "Chandra Prasad", "Danny van Velzen", "Iman Narasamdya", "Benjamin Livshits"]
MIX10: compiling MATLAB to X10 for high performance.	OOPSLA	2014	["Vineet Kumar", "Laurie J. Hendren"]
Staged parser combinators for efficient data processing.	OOPSLA	2014	["Manohar Jonnalagedda", "Thierry Coppey", "Sandro Stucki", "Tiark Rompf", "Martin Odersky"]
Bounded exhaustive test input generation from hybrid invariants.	OOPSLA	2014	["Nicol\u00e1s Rosner", "Valeria S. Bengolea", "Pablo Ponzio", "Shadi Abdul Khalek", "Nazareno Aguirre", "Marcelo F. Frias", "Sarfraz Khurshid"]
Compiler verification meets cross-language linking via data abstraction.	OOPSLA	2014	["Peng Wang", "Santiago Cuellar", "Adam Chlipala"]
GPS: navigating weak memory with ghosts, protocols, and separation.	OOPSLA	2014	["Aaron Turon", "Viktor Vafeiadis", "Derek Dreyer"]
Natural proofs for asynchronous programs using almost-synchronous reductions.	OOPSLA	2014	["Ankush Desai", "Pranav Garg", "P. Madhusudan"]
Accelerating iterators in optimizing AST interpreters.	OOPSLA	2014	["Wei Zhang", "Per Larsen", "Stefan Brunthaler", "Michael Franz"]
Call sequence prediction through probabilistic calling automata.	OOPSLA	2014	["Zhijia Zhao", "Bo Wu", "Mingzhou Zhou", "Yufei Ding", "Jianhua Sun", "Xipeng Shen", "Youfeng Wu"]
Space-efficient multi-versioning for input-adaptive feedback-driven program optimizations.	OOPSLA	2014	["Mingzhou Zhou", "Xipeng Shen", "Yaoqing Gao", "Graham Yiu"]
The hiphop virtual machine.	OOPSLA	2014	["Keith Adams", "Jason Evans", "Bertrand Maher", "Guilherme Ottoni", "Andrew Paroski", "Brett Simmers", "Edwin Smith", "Owen Yamauchi"]
