Title	Venue	Year	Authors
Extending the UML Statecharts Notation to Model Security Aspects.	IEEE Trans. Software Eng.	2015	["Mohamed El-Attar", "Hamza Luqman", "P\u00e9ter K\u00e1rp\u00e1ti", "Guttorm Sindre", "Andreas L. Opdahl"]
Performance Analysis for Object-Oriented Software: A Systematic Mapping.	IEEE Trans. Software Eng.	2015	["David Maplesden", "Ewan D. Tempero", "John G. Hosking", "John C. Grundy"]
Safer User Interfaces: A Case Study in Improving Number Entry.	IEEE Trans. Software Eng.	2015	["Harold Thimbleby"]
An I/O Efficient Approach for Detecting All Accepting Cycles.	IEEE Trans. Software Eng.	2015	["Lijun Wu", "Kaile Su", "Shaowei Cai", "Xiaosong Zhang", "Chenyi Zhang", "Shupeng Wang"]
Reducing Feedback Delay of Software Development Tools via Continuous Analysis.	IEEE Trans. Software Eng.	2015	["Kivan\u00e7 Muslu", "Yuriy Brun", "Michael D. Ernst", "David Notkin"]
Self-Adapting Reliability in Distributed Software Systems.	IEEE Trans. Software Eng.	2015	["Yuriy Brun", "Jae Young Bang", "George Edwards", "Nenad Medvidovic"]
The Effect of GoF Design Patterns on Stability: A Case Study.	IEEE Trans. Software Eng.	2015	["Apostolos Ampatzoglou", "Alexander Chatzigeorgiou", "Sofia Charalampidou", "Paris Avgeriou"]
The Risks of Coverage-Directed Test Case Generation.	IEEE Trans. Software Eng.	2015	["Gregory Gay", "Matt Staats", "Michael W. Whalen", "Mats Per Erik Heimdahl"]
Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study.	IEEE Trans. Software Eng.	2015	["Sarah Nadi", "Thorsten Berger", "Christian K\u00e4stner", "Krzysztof Czarnecki"]
Cina: Suppressing the Detection of Unstable Context Inconsistency.	IEEE Trans. Software Eng.	2015	["Chang Xu", "Wang Xi", "Shing-Chi Cheung", "Xiaoxing Ma", "Chun Cao", "Jian Lu"]
COVERT: Compositional Analysis of Android Inter-App Permission Leakage.	IEEE Trans. Software Eng.	2015	["Hamid Bagheri", "Alireza Sadeghi", "Joshua Garcia", "Sam Malek"]
Identifying Renaming Opportunities by Expanding Conducted Rename Refactorings.	IEEE Trans. Software Eng.	2015	["Hui Liu", "Qiurong Liu", "Yang Liu", "Zhouding Wang"]
Practical Combinatorial Interaction Testing: Empirical Findings on Efficiency and Early Fault Detection.	IEEE Trans. Software Eng.	2015	["Justyna Petke", "Myra B. Cohen", "Mark Harman", "Shin Yoo"]
Program Characterization Using Runtime Values and Its Application to Software Plagiarism Detection.	IEEE Trans. Software Eng.	2015	["Yoon-chan Jhi", "Xiaoqi Jia", "Xinran Wang", "Sencun Zhu", "Peng Liu", "Dinghao Wu"]
Automated Checking of Conformance to Requirements Templates Using Natural Language Processing.	IEEE Trans. Software Eng.	2015	["Chetan Arora", "Mehrdad Sabetzadeh", "Lionel C. Briand", "Frank Zimmer"]
Facilitating Coordination between Software Developers: A Study and Techniques for Timely and Efficient Recommendations.	IEEE Trans. Software Eng.	2015	["Kelly Blincoe", "Giuseppe Valetto", "Daniela E. Damian"]
First, Debug the Test Oracle.	IEEE Trans. Software Eng.	2015	["Xinrui Guo", "Min Zhou", "Xiaoyu Song", "Ming Gu", "Jiaguang Sun"]
GALE: Geometric Active Learning for Search-Based Software Engineering.	IEEE Trans. Software Eng.	2015	["Joseph Krall", "Tim Menzies", "Misty Davies"]
Inferring Loop Invariants by Mutation, Dynamic Analysis, and Static Checking.	IEEE Trans. Software Eng.	2015	["Juan P. Galeotti", "Carlo A. Furia", "Eva May", "Gordon Fraser", "Andreas Zeller"]
An Eye-Tracking Study of Java Programmers and Application to Source Code Summarization.	IEEE Trans. Software Eng.	2015	["Paige Rodeghero", "Cheng Liu", "Paul W. McBurney", "Collin McMillan"]
Assessing the Refactorability of Software Clones.	IEEE Trans. Software Eng.	2015	["Nikolaos Tsantalis", "Davood Mazinanian", "Giri Panamoottil Krishnan"]
A Survey on Load Testing of Large-Scale Software Systems.	IEEE Trans. Software Eng.	2015	["Zhen Ming Jiang", "Ahmed E. Hassan"]
Automated Oracle Data Selection Support.	IEEE Trans. Software Eng.	2015	["Gregory Gay", "Matt Staats", "Michael W. Whalen", "Mats Per Erik Heimdahl"]
On the Composability of Design Patterns.	IEEE Trans. Software Eng.	2015	["Hong Zhu", "Ian Bayley"]
An Ontology-Based Product Architecture Derivation Approach.	IEEE Trans. Software Eng.	2015	["Hector A. Duran-Limon", "Carlos A. Garcia-Rios", "Francisco Edgar Castillo-Barrera", "Rafael Capilla"]
Exploring the Relationship between Software Process Adaptive Capability and Organisational Performance.	IEEE Trans. Software Eng.	2015	["Paul Clarke", "Rory V. O'Connor", "Brian Leavy", "Murat Yilmaz"]
Mining Workflow Models from Web Applications.	IEEE Trans. Software Eng.	2015	["Matthias Schur", "Andreas Roth", "Andreas Zeller"]
Round-Up: Runtime Verification of Quasi Linearizability for Concurrent Data Structures.	IEEE Trans. Software Eng.	2015	["Lu Zhang", "Arijit Chattopadhyay", "Chao Wang"]
